1,2016-06-03,10.2979288101196,198,8,82.383430480957,1544.40002441406,1462.0166015625,Store,European Holiday Promotion,A. Datum Point Shoot Digital Camera M500 Black,A. Datum Corporation,Digital Cameras,"Cameras and camcorders ",Europe,Baildon,United Kingdom
10,2018-09-10,95.0534210205078,99,18,1710.96166992188,1702.80004882813,-8.1616153717041,Reseller,Asian Spring Promotion,Adventure Works LCD17 E200 Black,Adventure Works,Monitors,Computers,Asia,Beijing,China
100,2017-04-07,0.337960928678513,129,13,4.39349174499512,1599.59997558594,1595.20654296875,Store,North America Holiday Promotion,Proseware Ink Jet Wireless All-In-One Printer M400 Grey,"Proseware, Inc.","Printers, Scanners & Fax",Computers,North America,Queen Anne's County,United States
1000,2017-02-08,31.4893970489502,99,4,125.957588195801,396,270.042419433594,Store,European Back-to-Scholl Promotion,WWI LCD17 E200 Black,Wide World Importers,Monitors,Computers,Europe,Torino,Italy
10000,2019-03-04,20.6347885131836,22.9899997711182,8,165.078308105469,170.126007080078,5.04769468307495,Online,European Holiday Promotion,Contoso Multi-line phones M30 Grey,"Contoso, Ltd",Home & Office Phones,Cell phones,Europe,Berlin,Germany
10001,2016-07-28,20.1568393707275,169,12,241.882080078125,2028,1786.11791992188,Store,European Spring Promotion,Proseware Ink Jet All in one M300 White,"Proseware, Inc.","Printers, Scanners & Fax",Computers,Europe,Knotty Ash,United Kingdom
10004,2017-11-23,117.255981445313,219.949996948242,20,2345.11962890625,4399,2053.88037109375,Catalog,No Discount,WWI Desktop PC1.60 E1600 Black,Wide World Importers,Desktops,Computers,North America,North Harford,United States
10005,2017-12-17,144.156219482422,299,36,5189.6240234375,10614.5,5424.8759765625,Online,North America Back-to-School Promotion,The Phone Company Touch Screen Phones SAW/Built-in M801 Grey,The Phone Company,"Touch Screen Phones ",Cell phones,North America,Bethesda,United States
10006,2018-09-14,472.119384765625,566,10,4721.19384765625,5660,938.806091308594,Online,No Discount,"Fabrikam Home and Vacation Moviemaker 1/2"" 3mm M300 Orange","Fabrikam, Inc.",Camcorders,"Cameras and camcorders ",North America,Bethesda,United States
10008,2018-03-11,1.21074771881104,24.9899997711182,10,12.1074771881104,249.899993896484,237.792526245117,Online,No Discount,Contoso Mini Battery Charger Kit E320 Silver,"Contoso, Ltd",Cameras & Camcorders Accessories,"Cameras and camcorders ",Asia,Beijing,China
10009,2017-07-12,36.2158164978027,91,9,325.942352294922,819,493.057647705078,Store,Asian Spring Promotion,Proseware Laser Fax Printer E100 Grey,"Proseware, Inc.","Printers, Scanners & Fax",Computers,Asia,Tokyo,Japan
1001,2017-04-13,163.51399230957,799,8,1308.11193847656,5912.60009765625,4604.48828125,Store,European Holiday Promotion,Litware Home Theater System 7.1 Channel M710 Black,"Litware, Inc.",Home Theater System,TV and Video,Europe,Bucharest,Romania
10011,2017-09-15,27.5144119262695,46.9900016784668,9,247.62971496582,385.317993164063,137.688293457031,Store,Asian Spring Promotion,Contoso In front of Centrex L15 Black,"Contoso, Ltd",Home & Office Phones,Cell phones,Asia,Tehran,Iran
10012,2019-06-01,105.05387878418,249.990005493164,6,630.3232421875,1399.94396972656,769.620727539063,Store,North America Holiday Promotion,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Bluetooth Headphones,Audio,North America,Hillsboro,United States
10016,2018-08-17,168.050491333008,349.950012207031,9,1512.45446777344,3149.55004882813,1637.09558105469,Store,North America Spring Promotion,"Adventure Works 20"" LCD HDTV M120 Brown",Adventure Works,Televisions,TV and Video,North America,Hingham,United States
10017,2018-04-11,397.420440673828,499,13,5166.4658203125,6387.2001953125,1220.73425292969,Store,North America Holiday Promotion,WWI Projector 480p DLP12 Silver,Wide World Importers,Projectors & Screens,Computers,North America,Redmond,United States
10018,2018-07-10,49.2154159545898,326,18,885.877502441406,5868,4982.12255859375,Store,North America Spring Promotion,Proseware Laptop8.9 E089 White,"Proseware, Inc.",Laptops,Computers,North America,Annapolis,United States
10019,2017-08-07,41.349536895752,121,9,372.145843505859,1040.59997558594,668.454162597656,Reseller,Asian Spring Promotion,Proseware Scan Jet Digital Flat Bed Scanner M300 White,"Proseware, Inc.","Printers, Scanners & Fax",Computers,Asia,Beijing,China
1002,2019-02-24,39.11181640625,129,18,704.0126953125,2270.39990234375,1566.38732910156,Online,European Back-to-Scholl Promotion,The Phone Company Smart phones without camera E100 White,The Phone Company,"Smart phones & PDAs ",Cell phones,Europe,Berlin,Germany
10020,2016-11-20,8.13465213775635,99,5,40.6732597351074,495,454.326751708984,Store,No Discount,Adventure Works LCD17 E200 Black,Adventure Works,Monitors,Computers,Europe,Nice,France
10022,2016-12-16,634.24609375,999,24,15221.90625,23376.599609375,8154.6943359375,Catalog,North America Back-to-School Promotion,Fabrikam Trendsetter 1/2'' 3mm X300 Grey,"Fabrikam, Inc.",Camcorders,"Cameras and camcorders ",North America,North Harford,United States
10024,2019-01-24,52.598014831543,90,20,1051.96032714844,1800,748.039672851563,Online,No Discount,Adventure Works CRT15 E101 Black,Adventure Works,Monitors,Computers,Asia,Beijing,China
10027,2017-06-03,95.1621627807617,290,13,1237.10803222656,3770,2532.89184570313,Store,Asian Holiday Promotion,A. Datum Super-zoom Digital Camera X300 Black,A. Datum Corporation,Digital Cameras,"Cameras and camcorders ",Asia,Bangkok,Thailand
10028,2017-08-20,22.4837284088135,36.9900016784668,12,269.804748535156,438.701385498047,168.896667480469,Store,European Spring Promotion,Contoso Multi-Use Terminal Cable E308 Black,"Contoso, Ltd",Cameras & Camcorders Accessories,"Cameras and camcorders ",Europe,Amsterdam,the Netherlands
